trial	copf	ropf	ccc	rcc	eta	csjc	rsjc	eps
0	567.073	0.0170978	567.073	0.017097	0.5	565.215	0.0100981	0.011
1	567.073	0.0170978	567.073	0.017097	0.4996	565.215	0.0100981	0.0109933
2	567.073	0.0170978	567.087	0.0171038	0.499199	565.215	0.0100981	0.0109866
3	567.073	0.0170978	567.094	0.0171071	0.498799	565.215	0.0100981	0.0109799
4	567.073	0.0170978	567.101	0.0171105	0.498398	565.215	0.0100981	0.0109732
5	567.073	0.0170978	567.108	0.0171139	0.497998	565.215	0.0100981	0.0109665
6	567.073	0.0170978	567.115	0.0171174	0.497598	565.215	0.0100981	0.0109598
7	567.073	0.0170978	567.122	0.0171208	0.497197	565.215	0.0100981	0.0109531
8	567.073	0.0170978	567.129	0.0171242	0.496797	565.215	0.0100981	0.0109463
9	567.073	0.0170978	567.136	0.0171277	0.496396	565.215	0.0100981	0.0109396
10	567.073	0.0170978	567.143	0.0171311	0.495996	565.215	0.0100981	0.0109329
11	567.073	0.0170978	567.15	0.0171346	0.495596	565.215	0.0100981	0.0109262
12	567.073	0.0170978	567.157	0.0171381	0.495195	565.215	0.0100981	0.0109195
13	567.073	0.0170978	567.164	0.0171416	0.494795	565.215	0.0100981	0.0109128
14	567.073	0.0170978	567.171	0.0171451	0.494394	565.215	0.0100981	0.0109061
15	567.073	0.0170978	567.178	0.0171486	0.493994	565.215	0.0100981	0.0108994
16	567.073	0.0170978	567.186	0.0171521	0.493594	565.215	0.0100981	0.0108927
17	567.073	0.0170978	567.193	0.0171557	0.493193	565.215	0.0100981	0.010886
18	567.073	0.0170978	567.2	0.0171592	0.492793	565.215	0.0100981	0.0108793
19	567.073	0.0170978	567.207	0.0171628	0.492392	565.215	0.0100981	0.0108726
20	567.073	0.0170978	567.214	0.0171664	0.491992	565.215	0.0100981	0.0108659
21	567.073	0.0170978	567.221	0.01717	0.491592	565.215	0.0100981	0.0108592
22	567.073	0.0170978	567.229	0.0171736	0.491191	565.215	0.0100981	0.0108525
23	567.073	0.0170978	567.236	0.0171772	0.490791	565.215	0.0100981	0.0108457
24	567.073	0.0170978	567.243	0.0171808	0.49039	565.215	0.0100981	0.010839
25	567.073	0.0170978	567.25	0.0171824	0.48999	565.215	0.0100981	0.0108323
26	567.073	0.0170978	567.258	0.0171859	0.48959	565.215	0.0100981	0.0108256
27	567.073	0.0170978	567.265	0.0171894	0.489189	565.215	0.0100981	0.0108189
28	567.073	0.0170978	567.272	0.0171929	0.488789	565.215	0.0100981	0.0108122
29	567.073	0.0170978	567.28	0.0171964	0.488388	565.215	0.0100981	0.0108055
30	567.073	0.0170978	567.287	0.0171999	0.487988	565.215	0.0100981	0.0107988
31	567.073	0.0170978	567.294	0.0172035	0.487588	565.215	0.0100981	0.0107921
32	567.073	0.0170978	567.302	0.017207	0.487187	565.215	0.0100981	0.0107854
33	567.073	0.0170978	567.309	0.0172106	0.486787	565.215	0.0100981	0.0107787
34	567.073	0.0170978	567.316	0.0172142	0.486386	565.215	0.0100981	0.010772
